COD_ETU;Note : TLBC2104;RÃ©sultat : TLBC2104;Session : TLBC2104;AnnÃ©e : TLBC2104;Filiére;Année;module;Semestre
15000165;10;V  ;2;2016;BCG;2021;TLBC2104;S2
15000255;10;V  ;2;2016;BCG;2021;TLBC2104;S2
15000369;10;V  ;2;2016;BCG;2021;TLBC2104;S2
15001005;13;V  ;1;2015;BCG;2021;TLBC2104;S2
15005062;10;V  ;2;2015;BCG;2021;TLBC2104;S2
15005732;10;V  ;2;2015;BCG;2021;TLBC2104;S2
16000815;10;V  ;2;2016;BCG;2021;TLBC2104;S2
16000840;10;V  ;2;2016;BCG;2021;TLBC2104;S2
16004450;10.5;V  ;1;2016;BCG;2021;TLBC2104;S2
16008736;0;NRA;1;2020;BCG;2021;TLBC2104;S2
17003102;10.4;V  ;1;2017;BCG;2021;TLBC2104;S2
17004303;10.8;V  ;1;2017;BCG;2021;TLBC2104;S2
17004847;0;NRA;1;2020;BCG;2021;TLBC2104;S2
17004850;10.6;V  ;1;2017;BCG;2021;TLBC2104;S2
17005196;10;V  ;2;2017;BCG;2021;TLBC2104;S2
17005294;10.7;V  ;1;2017;BCG;2021;TLBC2104;S2
17005433;0;NRA;1;2020;BCG;2021;TLBC2104;S2
17005485;10;V  ;2;2017;BCG;2021;TLBC2104;S2
17005491;10;V  ;2;2017;BCG;2021;TLBC2104;S2
17005624;0;NRA;1;2020;BCG;2021;TLBC2104;S2
17005671;10;V  ;2;2017;BCG;2021;TLBC2104;S2
17005710;11.2;V  ;1;2018;BCG;2021;TLBC2104;S2
17005722;10.4;V  ;1;2017;BCG;2021;TLBC2104;S2
17005766;11.6;V  ;1;2017;BCG;2021;TLBC2104;S2
17005882;10;V  ;2;2017;BCG;2021;TLBC2104;S2
17005897;10.6;V  ;1;2017;BCG;2021;TLBC2104;S2
17005948;10.9;V  ;1;2018;BCG;2021;TLBC2104;S2
17006031;10;V  ;1;2019;BCG;2021;TLBC2104;S2
17006036;10;V  ;2;2019;BCG;2021;TLBC2104;S2
17006084;10.4;V  ;1;2017;BCG;2021;TLBC2104;S2
17006104;11.1;V  ;1;2018;BCG;2021;TLBC2104;S2
17008735;0;NRA;1;2020;BCG;2021;TLBC2104;S2
17009909;10;V  ;2;2018;BCG;2021;TLBC2104;S2
17011785;10;V  ;2;2017;BCG;2021;TLBC2104;S2
18001839;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18002372;12.9;V  ;1;2018;BCG;2021;TLBC2104;S2
18002395;10.2;V  ;1;2018;BCG;2021;TLBC2104;S2
18002567;11.5;V  ;1;2018;BCG;2021;TLBC2104;S2
18002578;10;V  ;2;2018;BCG;2021;TLBC2104;S2
18002597;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18002608;12.5;V  ;1;2019;BCG;2021;TLBC2104;S2
18002615;10;V  ;2;2018;BCG;2021;TLBC2104;S2
18002644;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18002730;11.5;V  ;1;2018;BCG;2021;TLBC2104;S2
18002832;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18002912;11.6;V  ;1;2018;BCG;2021;TLBC2104;S2
18002920;10;V  ;2;2018;BCG;2021;TLBC2104;S2
18003182;10;V  ;2;2018;BCG;2021;TLBC2104;S2
18003766;11.2;V  ;1;2018;BCG;2021;TLBC2104;S2
18003778;11.6;V  ;1;2018;BCG;2021;TLBC2104;S2
18003807;11.3;V  ;1;2018;BCG;2021;TLBC2104;S2
18003813;12.5;V  ;1;2019;BCG;2021;TLBC2104;S2
18003871;17;V  ;1;2019;BCG;2021;TLBC2104;S2
18003944;16;V  ;1;2019;BCG;2021;TLBC2104;S2
18004107;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18004126;16;V  ;1;2020;BCG;2021;TLBC2104;S2
18004211;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18004249;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18004267;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18004324;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18004340;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18004544;10.8;V  ;1;2018;BCG;2021;TLBC2104;S2
18004610;12.3;V  ;1;2018;BCG;2021;TLBC2104;S2
18004637;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18004707;11.3;V  ;1;2018;BCG;2021;TLBC2104;S2
18004739;10.1;V  ;1;2018;BCG;2021;TLBC2104;S2
18004745;17.5;V  ;1;2019;BCG;2021;TLBC2104;S2
18004924;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18004934;10;V  ;2;2018;BCG;2021;TLBC2104;S2
18004947;10;V  ;1;2018;BCG;2021;TLBC2104;S2
18004963;10;V  ;2;2018;BCG;2021;TLBC2104;S2
18005062;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18005091;10.4;V  ;1;2018;BCG;2021;TLBC2104;S2
18005217;0;NRA;1;2020;BCG;2021;TLBC2104;S2
18005639;10;V  ;2;2019;BCG;2021;TLBC2104;S2
18005891;10;V  ;2;2018;BCG;2021;TLBC2104;S2
18006087;10.3;V  ;1;2018;BCG;2021;TLBC2104;S2
18007507;10.5;V  ;1;2018;BCG;2021;TLBC2104;S2
18007917;12;V  ;1;2018;BCG;2021;TLBC2104;S2
18007934;10;V  ;1;2020;BCG;2021;TLBC2104;S2
